facility_name,county,facility_type,flag_reason,deficiency_tag,deficiency_summary,survey_date,reported_nurse_hprd,state_mandated_hprd,casemix_expected_hprd,staffing_rating,md_license_number,cms_ccn,source_portal,source_url,scraped_at_utc
WILLOWBROOKE CT SKILLED CARE BUCKINGHAM'S CHOICE,Adamstown,SNF,insufficient_staffing_citation,0712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,2026-02-17,,,,,,215329,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ADELPHI NURSING AND REHABILITATION CENTER,Adelphi,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2025-02-11,,,,,,215064,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
STERLING CARE HILLHAVEN,Adelphi,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2025-06-09,,,,,,215212,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ALLEGANY HEALTH NURSING AND REHAB,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.330; state minimum 3.76; casemix expected 3.851; staffing rating 3.,,3.32975,3.76,3.85127,3,,215230,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Cumberland Healthcare Center,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.386; state minimum 3.76; casemix expected 3.414; staffing rating 4.,,3.38590,3.76,3.41415,4,,215055,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
DEVLIN MANOR NURSING AND REHABILITATION CENTER,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 2.898; state minimum 3.76; casemix expected 3.822; staffing rating 2.,,2.89826,3.76,3.82243,2,,215244,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FROSTBURG REHAB CENTER,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.338; state minimum 3.76; casemix expected 3.726; staffing rating 1.,,3.33835,3.76,3.72561,1,,215115,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
LIONS REHAB  CENTER,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.544; state minimum 3.76; casemix expected 3.761; staffing rating 4.,,3.54379,3.76,3.76137,4,,215073,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MORAN  NURSING AND REHABILITATION CENTER,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.357; state minimum 3.76; casemix expected 3.441; staffing rating 4.,,3.35723,3.76,3.44060,4,,215240,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MOUNTAIN CITY REHAB CENTER,Allegany,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.556; state minimum 3.76; casemix expected 3.762; staffing rating 3.,,3.55552,3.76,3.76194,3,,215277,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
